Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Previous Purchases,Payment Method,Sale Applied
55,Male,Blouse,Clothing,62.93428306022466,Kentucky,L,Gray,Winter,3.1,Yes,Express,14,Venmo,Yes
19,Female,Sweater,Clothing,61.23471397657631,Maine,L,Maroon,Winter,3.1,Yes,Express,2,Cash,Yes
50,Male,Jeans,Clothing,85.95377076201385,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,23,Credit Card,Yes
21,Female,Sandals,Footwear,120.46059712816052,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,49,PayPal,Yes
45,Male,Blouse,Clothing,44.31693250553328,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,31,PayPal,Yes
46,Male,Sneakers,Footwear,15.31726086101639,Wyoming,M,White,Summer,2.9,Yes,Standard,14,Venmo,Yes
63,Male,Shirt,Clothing,116.58425631014782,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,49,Cash,Yes
27,Male,Shorts,Clothing,49.348694583058176,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,19,Credit Card,Yes
26,Male,Coat,Outerwear,87.61051228130096,West Virginia,L,Silver,Summer,2.6,Yes,Express,8,Venmo,Yes
57,Male,Handbag,Accessories,41.85120087171929,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,4,Cash,Yes
53,Male,Shoes,Footwear,24.731646143750755,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,26,Bank Transfer,Yes
23,Male,Shorts,Clothing,58.68540492859486,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,10,Bank Transfer,Yes
61,Male,Coat,Outerwear,76.83924543132068,Delaware,M,Gold,Winter,4.5,Yes,Express,37,Venmo,Yes
61,Male,Coat,Outerwear,33.73439510684404,Delaware,M,Gold,Winter,4.5,Yes,Express,37,Venmo,Yes
65,Male,Dress,Clothing,16.501643349739346,New Hampshire,M,Violet,Spring,4.7,Yes,Express,31,PayPal,Yes
64,Male,Coat,Outerwear,41.75424941518055,New York,L,Teal,Winter,4.7,Yes,Free Shipping,34,Debit Card,Yes
64,Male,Skirt,Clothing,60.74337759331152,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,8,PayPal,Yes
25,Male,Sunglasses,Accessories,42.28494665190548,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,44,Debit Card,Yes
53,Male,Dress,Clothing,19.83951848957578,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,36,Venmo,Yes
52,Male,Sweater,Clothing,19.75392597329417,Montana,S,Black,Summer,4.6,Yes,Free Shipping,17,Cash,Yes
66,Male,Pants,Clothing,119.31297537843108,Rhode Island,M,Green,Summer,3.3,Yes,Standard,46,Debit Card,Yes
21,Male,Pants,Clothing,46.48447399026929,Louisiana,M,Black,Winter,2.8,Yes,Express,50,Cash,Yes
21,Male,Pants,Clothing,52.35056409375848,Louisiana,M,Black,Winter,2.8,Yes,Express,50,Cash,Yes
56,Male,Pants,Clothing,26.112345509496347,California,M,Peach,Summer,3.2,Yes,Store Pickup,32,Debit Card,Yes
31,Male,Pants,Clothing,90.21845179419732,Oklahoma,XL,White,Winter,4.4,Yes,Express,40,Credit Card,Yes
18,Male,Jacket,Outerwear,-1.019871548446055,Florida,M,Green,Fall,2.9,Yes,Store Pickup,16,Debit Card,Yes
18,Male,Hoodie,Clothing,32.51396036691344,Texas,M,Silver,Summer,3.6,Yes,Express,14,PayPal,Yes
